,PARIS,MARSEILLE,LYON,TOULOUSE,NICE,NANTES,STRASBOURG,MONTPELLIER,BORDEAUX,LILLE,RENNES,REIMS,LE HAVRE,SAINT-ETIENNE,TOULON,GRENOBLE,DIJON,ANGERS,VILLEURBANNE,LE MANS,NIMES,AIX-EN-PROVENCE,BREST,CLERMONT-FERRAND,LIMOGES,TOURS,AMIENS,METZ,PERPIGNAN,BESANCON,BOULOGNE-BILLANCOURT,ORLEANS,ROUEN,MULHOUSE,CAEN,NANCY,SAINT-PAUL,ARGENTEUIL,MONTREUIL,ROUBAIX,DUNKERQUE,TOURCOING,CRETEIL,AVIGNON,NANTERRE,POITIERS,COURBEVOIE,FORT-DE-FRANCE,VERSAILLES,VITRY-SUR-SEINE
11,309.0,763.0,558.0,553.0,845.0,96.0,699.0,658.0,371.0,445.0,0.0,439.0,206.0,548.0,809.0,651.0,508.0,108.0,561.0,140.0,663.0,747.0,210.0,443.0,333.0,193.0,353.0,588.0,698.0,584.0,301.0,267.0,252.0,672.0,156.0,585.0,1546.0,305.0,315.0,455.0,440.0,455.0,315.0,680.0,300.0,225.0,303.0,12225.0,292.0,311.0
12,130.0,669.0,392.0,658.0,664.0,471.0,281.0,628.0,601.0,168.0,439.0,0.0,283.0,425.0,697.0,471.0,226.0,392.0,392.0,314.0,602.0,644.0,630.0,392.0,431.0,323.0,144.0,155.0,735.0,267.0,137.0,215.0,214.0,294.0,318.0,170.0,1818.0,134.0,124.0,172.0,232.0,174.0,125.0,592.0,139.0,404.0,135.0,12303.0,147.0,129.0
13,175.0,797.0,545.0,663.0,842.0,282.0,564.0,715.0,521.0,244.0,206.0,283.0,0.0,554.0,837.0,639.0,434.0,231.0,546.0,166.0,707.0,777.0,358.0,468.0,414.0,238.0,162.0,439.0,786.0,502.0,170.0,218.0,69.0,563.0,49.0,450.0,1563.0,165.0,181.0,254.0,234.0,254.0,187.0,712.0,164.0,324.0,167.0,12363.0,164.0,183.0
14,411.0,249.0,49.0,311.0,296.0,497.0,432.0,207.0,395.0,586.0,548.0,425.0,554.0,0.0,285.0,107.0,214.0,441.0,52.0,428.0,177.0,226.0,750.0,109.0,249.0,358.0,520.0,432.0,328.0,237.0,411.0,335.0,509.0,341.0,549.0,386.0,2091.0,423.0,409.0,592.0,642.0,594.0,400.0,168.0,419.0,339.0,417.0,11878.0,411.0,402.0
15,696.0,49.0,306.0,367.0,124.0,742.0,623.0,174.0,553.0,863.0,809.0,697.0,837.0,285.0,0.0,228.0,472.0,700.0,306.0,702.0,150.0,61.0,997.0,372.0,479.0,627.0,803.0,669.0,253.0,459.0,696.0,619.0,794.0,526.0,829.0,619.0,2355.0,707.0,693.0,868.0,922.0,870.0,684.0,129.0,704.0,585.0,702.0,11612.0,696.0,686.0
16,483.0,209.0,94.0,382.0,203.0,603.0,410.0,227.0,495.0,639.0,651.0,471.0,639.0,107.0,228.0,0.0,245.0,544.0,93.0,526.0,183.0,183.0,854.0,216.0,356.0,458.0,585.0,442.0,357.0,232.0,484.0,422.0,588.0,312.0,639.0,392.0,2188.0,495.0,480.0,643.0,699.0,645.0,471.0,152.0,493.0,445.0,490.0,11840.0,486.0,474.0
17,262.0,447.0,173.0,498.0,438.0,495.0,247.0,422.0,511.0,395.0,508.0,226.0,434.0,214.0,472.0,245.0,0.0,419.0,172.0,368.0,390.0,421.0,718.0,225.0,330.0,326.0,349.0,219.0,541.0,77.0,265.0,242.0,373.0,180.0,448.0,175.0,1998.0,274.0,257.0,399.0,457.0,401.0,250.0,374.0,273.0,364.0,270.0,12083.0,270.0,253.0
18,264.0,654.0,453.0,456.0,736.0,80.0,629.0,551.0,292.0,439.0,108.0,392.0,231.0,441.0,700.0,544.0,419.0,0.0,455.0,81.0,555.0,638.0,310.0,334.0,226.0,93.0,341.0,530.0,596.0,496.0,257.0,190.0,249.0,591.0,191.0,519.0,1655.0,265.0,270.0,449.0,451.0,450.0,267.0,571.0,258.0,118.0,261.0,12145.0,248.0,263.0
19,393.0,277.0,3.0,363.0,296.0,518.0,380.0,253.0,438.0,557.0,561.0,392.0,546.0,52.0,306.0,93.0,172.0,455.0,0.0,433.0,219.0,252.0,766.0,139.0,281.0,367.0,498.0,386.0,378.0,186.0,394.0,329.0,497.0,288.0,546.0,339.0,2095.0,405.0,391.0,563.0,616.0,565.0,381.0,202.0,402.0,361.0,400.0,11912.0,395.0,384.0
20,184.0,659.0,431.0,498.0,725.0,157.0,562.0,566.0,356.0,358.0,140.0,314.0,166.0,428.0,702.0,526.0,368.0,81.0,433.0,0.0,563.0,641.0,349.0,329.0,252.0,77.0,261.0,456.0,627.0,444.0,177.0,126.0,172.0,532.0,137.0,449.0,1662.0,184.0,190.0,369.0,373.0,369.0,188.0,574.0,178.0,157.0,181.0,12197.0,168.0,184.0
